Angle,Range
-0.002843718,6.391490031
-0.011247129,1.856480143
,0
,0
,0
,0
,0
,0
,0
-0.106553294,7.828084147
-0.121028414,7.848010036
-0.130513048,5.029952198
-0.136987008,5.06799794
-0.154197717,4.256301656
-0.163199142,4.184707902
-0.169243955,4.023160206
-0.178642135,6.284492186
-0.187035073,1.852479481
,0
,0
,0
,0
,0
,0
,0
-0.282332665,7.842540856
-0.296808369,7.859681831
-0.306295363,5.025047211
-0.312767786,5.068982096
-0.329987054,4.235450979
-0.338980432,4.18570302
-0.345029652,4.011170913
-0.354676108,5.033595764
-0.362845343,1.837477382
,0
,0
,0
,0
,0
,0
,0
-0.458110746,7.857964677
-0.472590483,7.868440615
-0.482085039,4.994637173
-0.488558907,5.033431935
-0.505768981,4.234459897
-0.514764957,4.175744101
-0.520815877,4.00018103
-0.530471278,4.976603157
-0.538596938,1.853477557
,0
,0
,0
,0
,0
,0
,0
-0.633892732,7.872417111
-0.64836798,7.871365856
-0.657862379,5.005419703
-0.664371434,4.911970818
-0.681561739,4.201709051
-0.69054682,4.175743064
-0.69659482,4.003183394
-0.706250217,4.986595249
-0.714409893,1.83648101
,0
,0
,0
,0
,0
,0
,0
-0.809693872,7.703746802
-0.824149929,7.881091021
-0.833633547,5.043685268
-0.840115171,5.057134382
-0.857312424,4.2801164
-0.866323209,4.185703727
-0.872369956,4.023155174
-0.88210401,4.715625266
-0.890201454,1.830483674
,0
,0
,0
,0
,0
,0
,0
-0.985511041,7.4319271
-0.999928594,7.897640342
-1.009435348,4.968143834
-1.015884097,5.1045291
-1.033060328,4.383349674
-1.042073646,4.277369505
-1.048150696,4.03313915
-1.057666036,5.627544877
-1.066048529,1.796493696
,0
,0
,0
,0
,0
,0
,0
-1.16128975,7.446387191
-1.175724799,7.766259537
-1.185192585,5.059379102
-1.19166217,5.113423236
-1.208821518,4.430994081
-1.21780187,4.415869228
-1.223927321,4.039135686
-1.233390475,5.939523899
-1.241825811,1.799490393
,0
,0
,0
,0
,0
,0
,0
-1.337068332,7.451204085
-1.351489054,7.930723524
-1.3609689,5.077038091
-1.367446318,5.107497428
-1.384404763,5.107933093
-1.393598975,4.377007881
-1.399727173,3.990191885
-1.409631649,4.157662196
-1.417647013,1.778497136
,0
,0
,0
,0
,0
,0
,0
-1.512847369,7.482050248
-1.527267556,7.944346787
-1.536744285,5.100586754
-1.543222752,5.114408778
-1.560179586,5.120842206
-1.569384945,4.354091797
-1.575479652,4.058115151
-1.585438314,4.085675131
-1.593571115,1.710515713
,0
,0
,0
,0
,0
,0
,0
-1.688623872,7.510002622
-1.703048019,7.95797767
-1.712521657,5.104507618
