Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m)
628,101,0,107,7565,610739000000.0,7.28006,0.420069,2.01167,0,1.6511898830631553,7.2921691949899925
804,109,1,100,7969,610739000000.0,7.7429,0.442866,1.8306,1,1.636772833973597,7.755554828892385
726,118,2,88,5078,610739000000.0,4.97384,0.282834,0.982138,2,1.6272901362397014,4.981875090481093
801,121,3,133,5067,610739000000.0,4.9958,0.282949,0.796763,3,1.6208096928172442,5.003806328846172
398,101,4,148,4499,610739000000.0,4.45874,0.249858,0.545331,4,1.6036875938509585,4.465735259480122
558,112,5,82,4412,610739000000.0,4.38913,0.244574,0.375591,5,1.5946874841582357,4.395938875641471
516,108,6,108,4380,610739000000.0,4.36801,0.242481,0.214434,6,1.5886974639899472,4.374735237184189
715,125,7,119,4020,610739000000.0,4.01358,0.221386,0.0507124,7,1.5785959819321533,4.019681103942949
62,11,8,64,1877,610739000000.0,1.87365,0.102839,-0.0443256,8,1.5708201613149813,1.8764701389633143
0,0,0,0,0,0.0,0.0,0.0,0.0,9,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,10,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,11,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,12,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,13,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,14,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,15,,0.0
500,78,0,129,7638,610739000000.0,7.35277,0.379016,2.03112,16,1.4754176770473815,7.362532159600798
809,109,1,93,7976,610739000000.0,7.75227,0.395696,1.83221,17,1.4609947969048693,7.762362106814909
770,121,2,101,5086,610739000000.0,4.98332,0.252707,0.983689,18,1.4515074703923387,4.9897233440591675
821,122,3,133,5081,610739000000.0,5.01125,0.252988,0.798969,19,1.445033592873212,5.017631860812828
405,101,4,146,4486,610739000000.0,4.4473,0.221851,0.543751,20,1.4278998497606983,4.4528300165401555
363,98,5,107,4375,610739000000.0,4.35373,0.215811,0.372433,21,1.4188921855264913,4.359075509855386
426,102,6,110,4379,610739000000.0,4.36841,0.215626,0.214385,22,1.4129214941063541,4.373728443785233
588,117,7,249,4098,610739000000.0,4.09276,0.200577,0.0516993,23,1.4028465249019348,4.097671967169774
58,11,8,82,1815,610739000000.0,1.81234,0.0883162,-0.0428519,24,1.3949219917688611,1.8144905694939393
0,0,0,0,0,0.0,0.0,0.0,0.0,25,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,26,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,27,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,28,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,29,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,30,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,31,,0.0
559,91,0,144,7719,610739000000.0,7.43295,0.337437,2.05269,32,1.2996488976369538,7.44060544791007
807,109,1,80,7997,610739000000.0,7.77497,0.349038,1.83705,33,1.2852130615333264,7.7828006544138075
319,71,2,78,5040,610739000000.0,4.9397,0.220114,0.974771,34,1.275711672368647,4.944601729461737
820,122,3,137,5091,610739000000.0,5.02257,0.222672,0.800546,35,1.269252276804677,5.027503577769388
456,104,4,130,4455,610739000000.0,4.41784,0.193213,0.539983,36,1.2521095595754475,4.422063039913497
434,103,5,80,4353,610739000000.0,4.33307,0.188141,0.370554,37,1.243104619822297,4.3371525982816195
459,105,6,119,4365,610739000000.0,4.35568,0.188213,0.213697,38,1.23713246493476,4.359744533314883
605,91,7,140,6376,610739000000.0,6.36964,0.27312,0.0805235,39,1.2276238192323443,6.375492785973489
57,10,8,89,1859,610739000000.0,1.85679,0.079071,-0.0438977,40,1.2192275283749998,1.8584728481043244
0,0,0,0,0,0.0,0.0,0.0,0.0,41,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,42,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,43,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,44,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,45,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,46,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,47,,0.0
855,115,0,105,8079,610739000000.0,7.78161,0.305444,2.14858,48,1.1239108935971802,7.787602341493561
840,112,1,92,8014,610739000000.0,7.7935,0.301966,1.84096,49,1.1094326867942397,7.799347774984521
662,116,2,79,5092,610739000000.0,4.99193,0.191761,0.984852,50,1.0999449494306488,4.9956118149853275
802,121,3,130,5103,610739000000.0,5.03569,0.192303,0.802437,51,1.0934746734613054,5.039360497117566
483,106,4,126,4473,610739000000.0,4.43679,0.166774,0.542171,52,1.076335567974128,4.439923318163952
423,103,5,93,4341,610739000000.0,4.3222,0.161105,0.36953,53,1.0673228089544313,4.325201459010319
321,82,6,98,4260,610739000000.0,4.25196,0.157594,0.208543,54,1.0613152286925567,4.254879517734433
737,104,7,105,6471,610739000000.0,6.46612,0.237521,0.0817256,55,1.05185449941015,6.470480977473081
52,9,8,79,1852,610739000000.0,1.85025,0.0674208,-0.0437314,56,1.0434316830018564,1.851477957409334
94,17,9,67,833,610739000000.0,0.830969,0.0297572,-0.0495389,57,1.025449644394894,0.8315016355442963
0,0,0,0,0,0.0,0.0,0.0,0.0,58,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,59,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,60,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,61,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,62,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,63,,0.0
879,116,0,111,8077,610739000000.0,7.78141,0.257627,2.14804,64,0.9481282941770633,7.785673590591183
869,114,1,108,8023,610739000000.0,7.80396,0.254426,1.84303,65,0.9336525599004458,7.808106317864531
761,120,2,114,5102,610739000000.0,5.00282,0.161445,0.986791,66,0.9241695774154013,5.005424301737566
815,122,3,119,5112,610739000000.0,5.04566,0.161686,0.803856,67,0.9176952527212527,5.048249914395681
516,108,4,145,4497,610739000000.0,4.46154,0.140297,0.545088,68,0.9005610136615024,4.463745335456426
388,101,5,74,4294,610739000000.0,4.2763,0.133121,0.365518,69,0.8915194326919558,4.278371523213125
130,31,6,90,4185,610739000000.0,4.17797,0.129182,0.204861,70,0.885504924539903,4.179966663745538
751,105,7,97,6492,610739000000.0,6.48844,0.198484,0.0819913,71,0.8760773156765304,6.491475142974514
53,10,8,84,1831,610739000000.0,1.82964,0.0554283,-0.0432322,72,0.8676123830670764,1.8304793978739258
0,0,0,0,0,0.0,0.0,0.0,0.0,73,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,74,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,75,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,76,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,77,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,78,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,79,,0.0
868,116,0,124,8090,610739000000.0,7.79537,0.210215,2.15151,80,0.7723503818747349,7.7982038818644
839,112,1,112,8026,610739000000.0,7.80829,0.206615,1.84372,81,0.7578743669470781,7.811023139277275
744,119,2,95,5109,610739000000.0,5.01058,0.130925,0.988148,82,0.7483907449340031,5.01229022424131
763,119,3,126,5103,610739000000.0,5.03767,0.130493,0.802437,83,0.7419130837982904,5.039359825607713
494,106,4,173,4508,610739000000.0,4.47324,0.113196,0.546425,84,0.7247844096955659,4.474671991556028
411,102,5,85,4272,610739000000.0,4.25512,0.106331,0.36364,85,0.7157318588894375,4.256448342921714
93,22,6,90,4128,610739000000.0,4.12177,0.102131,0.202062,86,0.7097045823358512,4.1230351288900025
626,96,7,98,6477,610739000000.0,6.47455,0.158301,0.0818015,87,0.7002936519512969,6.4764849192367455
57,10,8,69,1878,610739000000.0,1.87692,0.0453411,-0.0443494,88,0.6919177435992708,1.8774675767504507
0,0,0,0,0,0.0,0.0,0.0,0.0,89,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,90,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,91,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,92,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,93,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,94,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,95,,0.0
831,113,0,133,8086,610639000000.0,7.79266,0.162299,2.15044,96,0.596568021541089,7.794349930622887
813,110,1,111,8023,610639000000.0,7.80649,0.158641,1.84303,97,0.5820931584334512,7.808101759517546
755,120,2,96,5127,610639000000.0,5.02895,0.100532,0.991638,98,0.5726137861413083,5.029954749848551
773,120,3,102,5097,610639000000.0,5.03245,0.0994623,0.801491,99,0.5661286411746077,5.033432799950873
230,59,4,120,4250,610639000000.0,4.21781,0.0808259,0.515068,100,0.5489123746743427,4.218584362343701
364,99,5,97,4239,610639000000.0,4.22282,0.0795989,0.360823,101,0.5399402514442102,4.2235701411579765
144,35,6,97,4111,610639000000.0,4.10534,0.0765206,0.201228,102,0.5339143402640611,4.106053082684679
601,90,7,120,6445,610639000000.0,6.4434,0.117984,0.0813966,103,0.5245080152916886,6.44448010193654
49,9,8,82,1860,610639000000.0,1.85917,0.0334973,-0.0439215,104,0.5161029589888434,1.859471741653336
0,0,0,0,0,0.0,0.0,0.0,0.0,105,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,106,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,107,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,108,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,109,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,110,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,111,,0.0
892,117,0,150,8097,610639000000.0,7.80411,0.114637,2.15337,112,0.42078750276144655,7.804951923866604
863,113,1,100,8043,610639000000.0,7.82678,0.111015,1.84763,113,0.40631424763065066,7.827567278447692
711,118,2,104,5134,610639000000.0,5.03633,0.0697681,0.992995,114,0.39683281242923635,5.036813224319284
