Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m),phi
613,101,0,87,7568,531000000000.0,7.28295,0.420236,2.01247,0,0.05763743335426362,7.5675619917577155,37.28877866972033
819,110,1,86,7978,531000000000.0,7.75164,0.443366,1.83267,1,0.057134163424729024,7.977667292414243,38.35955764633607
718,118,2,104,5097,531000000000.0,4.99245,0.283893,0.985822,2,0.05680329228905766,5.096763409619187,39.42374592802837
758,119,3,118,5063,531000000000.0,4.99186,0.282725,0.796132,3,0.0565767618944677,5.062847602550268,40.47634836828658
379,100,4,132,4504,531000000000.0,4.46369,0.250136,0.545939,4,0.055979394243161715,4.503903398866032,41.51889614688537
481,105,5,80,4446,531000000000.0,4.42295,0.246461,0.378493,5,0.05566564866234167,4.445951717919348,42.55819074564294
513,108,6,109,4391,531000000000.0,4.37898,0.24309,0.214974,6,0.05545600842067263,4.390987634823857,43.596895539917725
701,124,7,109,4030,531000000000.0,4.02356,0.221937,0.0508389,7,0.05510352146418625,4.029996985026441,44.638593815246765
49,9,8,64,1797,531000000000.0,1.79379,0.0984466,-0.042424,8,0.054826895629380513,1.7969902873770798,45.67639263801826
0,0,0,0,0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0
468,71,0,124,7630,531000000000.0,7.34507,0.378619,2.02899,16,0.0515017810437014,7.629561328946835,37.28865291633874
809,109,1,72,7985,531000000000.0,7.76102,0.396142,1.83428,17,0.05099825909118419,7.984669250693106,38.359552209554586
752,120,2,98,5116,531000000000.0,5.01272,0.254199,0.989505,18,0.050667389666429585,5.115769646399845,39.423707165710056
733,118,3,114,5063,531000000000.0,4.9935,0.25209,0.796132,19,0.050440806708900804,5.062846805851822,40.47634765046079
379,100,4,118,4498,531000000000.0,4.4592,0.222446,0.54521,20,0.049843415198561954,4.497910715767489,41.51891282401787
339,90,5,67,4362,531000000000.0,4.34079,0.215169,0.371323,21,0.04952854875912269,4.361953265796185,42.55831624495716
411,102,6,97,4366,531000000000.0,4.35545,0.214985,0.213746,22,0.049319968691549726,4.3659879300384015,43.59692224024979
579,116,7,214,4103,531000000000.0,4.09775,0.200822,0.0517626,23,0.048968691383619846,4.102994504620102,44.63857407187863
55,10,8,84,1793,531000000000.0,1.79037,0.0872431,-0.042329,24,0.04869057490838878,1.7929940991644702,45.676382145172454
0,0,0,0,0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0
524,83,0,127,7696,531000000000.0,7.4108,0.336431,2.04657,32,0.04536624465336531,7.695556589530156,37.288539556387455
777,107,1,84,7986,531000000000.0,7.76428,0.348558,1.83451,33,0.04486238630738642,7.985672391092939,38.359553855945116
268,57,2,69,5028,531000000000.0,4.92794,0.21959,0.972444,34,0.04453074362920472,5.027768863505561,39.423937540417576
803,121,3,104,5073,531000000000.0,5.00482,0.221884,0.797708,35,0.04430504983740567,5.072848686400965,40.47632931949014
433,103,4,138,4480,531000000000.0,4.44263,0.194299,0.543022,36,0.043707276866709416,4.4799091855510875,41.51895122958007
384,100,5,81,4341,531000000000.0,4.32113,0.187622,0.36953,37,0.04339240599984986,4.340958294280654,42.558354307451765
445,104,6,118,4369,531000000000.0,4.35968,0.188386,0.213894,38,0.043184105369257875,4.368987254574222,43.59691461278353
596,89,7,134,6372,531000000000.0,6.36564,0.272948,0.0804729,39,0.04285207897580255,6.371997262078697,44.63819192632263
48,9,8,78,1805,531000000000.0,1.80286,0.0767678,-0.0426142,40,0.04255541372209806,1.8049967990992337,45.67641136138063
0,0,0,0,0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0
839,114,0,115,8063,531000000000.0,7.7662,0.304839,2.14432,48,0.03923187496018167,8.062561473770046,37.28799378377228
829,111,1,87,8009,531000000000.0,7.78864,0.301778,1.83981,49,0.03872654552427375,8.008675536378284,38.35949652555833
645,114,2,70,5113,531000000000.0,5.01252,0.192553,0.988924,50,0.03839553140429079,5.112768729952979,39.423710336555175
751,119,3,106,5082,531000000000.0,5.01497,0.19151,0.799127,51,0.03816911935587776,5.081850464459674,40.4763095351263
438,103,4,113,4484,531000000000.0,4.4477,0.167185,0.543508,52,0.03757140227719478,4.483903105586583,41.518939089874344
389,101,5,80,4329,531000000000.0,4.31025,0.160659,0.368506,53,0.03725646057837734,4.328956346374609,42.558369701935106
322,82,6,98,4284,531000000000.0,4.27591,0.158483,0.209721,54,0.03704719876234469,4.283982503142374,43.59699089413932
746,105,7,80,6486,531000000000.0,6.48111,0.238072,0.0819154,55,0.03671670554210339,6.4859983997871264,44.63817972284393
55,10,8,89,1833,531000000000.0,1.83127,0.0667268,-0.0432797,56,0.036421332040089655,1.8329962932778479,45.67648107781328
0,0,0,0,0,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0
